Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.70      7.17     0.07                             b2ContactManager::Collide()
  0.70      7.24     0.07                             b2Vec2::operator+=(b2Vec2 const&)
  0.70      7.31     0.07                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  0.70      7.38     0.07                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.65      7.45     0.07  2388409     0.00     0.00  b2Vec2::operator*=(float)
  0.65      7.51     0.07                             b2StackAllocator::Allocate(int)
  0.60      7.57     0.06                             b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&)
  0.60      7.63     0.06                             b2Contact::Update(b2ContactListener*)
  0.60      7.69     0.06                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.60      7.75     0.06                             b2DistanceProxy::GetSupport(b2Vec2 const&) const
  0.60      7.81     0.06                             b2Timer::GetMilliseconds() const
  0.55      7.87     0.06 27007520     0.00     0.00  b2Fixture::GetBody()
  0.55      7.92     0.06                             float b2Clamp<float>(float, float, float)
  0.50      7.97     0.05                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  0.50      8.02     0.05                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.50      8.07     0.05                             b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.50      8.12     0.05                             b2Min(b2Vec2 const&, b2Vec2 const&)
  0.50      8.17     0.05                             b2ContactSolver::StoreImpulses()
  0.50      8.22     0.05                             b2DistanceJoint::SolveVelocityConstraints(b2SolverData const&)
  0.50      8.27     0.05                             b2Rot::Set(float)
  0.50      8.32     0.05                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.50      8.37     0.05                             b2Body::IsAwake() const
  0.45      8.41     0.04                             b2Cross(b2Vec2 const&, float)
  0.40      8.46     0.04                             b2Max(b2Vec2 const&, b2Vec2 const&)
  0.40      8.49     0.04                             b2DynamicTree::InsertLeaf(int)
  0.40      8.54     0.04                             b2DynamicTree::Balance(int)
  0.40      8.57     0.04                             b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.40      8.62     0.04                             b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float)
  0.40      8.65     0.04                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.40      8.70     0.04                             b2TreeNode::IsLeaf() const
  0.40      8.73     0.04                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.40      8.78     0.04                             b2Sweep::GetTransform(b2Transform*, float) const
  0.35      8.81     0.04                             b2Body::IsBullet() const
  0.30      8.84     0.03  2800000     0.00     0.00  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  0.30      8.87     0.03                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.30      8.90     0.03                             b2EPCollider::ComputePolygonSeparation()
  0.30      8.93     0.03                             b2DynamicTree::RemoveLeaf(int)
  0.30      8.96     0.03                             b2PulleyJoint::SolvePositionConstraints(b2SolverData const&)
  0.30      8.99     0.03                             b2GrowableStack<int, 256>::Pop()
  0.30      9.02     0.03                             b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&)
  0.30      9.05     0.03                             b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&)
  0.30      9.08     0.03                             b2Vec2::Normalize()
  0.30      9.11     0.03                             b2Simplex::Solve3()
  0.30      9.14     0.03                             b2Body::IsActive() const
  0.30      9.17     0.03                             b2Vec2::Length() const
  0.25      9.20     0.03 11772506     0.00     0.00  b2Fixture::GetShape()
  0.25      9.22     0.03                             b2DistanceProxy::GetVertex(int) const
  0.20      9.24     0.02 10174024     0.00     0.00  b2Contact::GetFixtureB()
  0.20      9.26     0.02  4700000     0.00     0.00  b2Color::b2Color(float, float, float)
  0.20      9.28     0.02  4165123     0.00     0.00  b2Contact::GetManifold()
  0.20      9.30     0.02                             b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*)
  0.20      9.32     0.02                             b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.20      9.34     0.02                             b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.20      9.36     0.02                             b2ContactSolver::WarmStart()
  0.20      9.38     0.02                             b2GrowableStack<int, 256>::Push(int const&)
  0.20      9.40     0.02                             b2SimplexVertex::b2SimplexVertex()
  0.20      9.42     0.02                             b2Body::SynchronizeFixtures()
  0.20      9.44     0.02                             b2World::DrawJoint(b2Joint*)
  0.20      9.46     0.02                             b2Island::~b2Island()
  0.20      9.48     0.02                             b2Vec2::LengthSquared() const
  0.20      9.50     0.02                             b2Vec2::operator-() const
  0.20      9.52     0.02                             b2Mat33::Solve22(b2Vec2 const&) const
  0.20      9.54     0.02                             b2Fixture::GetType() const
  0.15      9.55     0.01                             b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&)
  0.15      9.57     0.01                             b2Rot::b2Rot()
  0.15      9.59     0.01                             b2Body::GetType() const
  0.15      9.60     0.01                             b2Contact::IsEnabled() const
  0.10      9.61     0.01 12586794     0.00     0.00  b2Vec2::Set(float, float)
  0.10      9.62     0.01 10174024     0.00     0.00  b2Contact::GetFixtureA()
  0.10      9.63     0.01  8864872     0.00     0.00  b2Body::GetTransform() const
  0.10      9.64     0.01  7121783     0.00     0.00  b2Vec2::SetZero()
  0.10      9.65     0.01  6774794     0.00     0.00  b2AABB::b2AABB()
  0.10      9.66     0.01  1388942     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.10      9.67     0.01        1    10.00    10.00  __static_initialization_and_destruction_0(int, int)
  0.10      9.68     0.01                             b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int)
  0.10      9.69     0.01                             b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.10      9.70     0.01                             int b2Max<int>(int, int)
  0.10      9.71     0.01                             b2MulT(b2Transform const&, b2Transform const&)
  0.10      9.72     0.01                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.10      9.73     0.01                             b2MulT(b2Rot const&, b2Rot const&)
  0.10      9.74     0.01                             b2BroadPhase::QueryCallback(int)
  0.10      9.75     0.01                             b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.10      9.76     0.01                             b2EPCollider::ComputeEdgeSeparation()
  0.10      9.77     0.01                             b2DistanceJoint::SolvePositionConstraints(b2SolverData const&)
  0.10      9.78     0.01                             b2GrowableStack<int, 256>::GetCount()
  0.10      9.79     0.01                             b2ContactManager::FindNewContacts()
  0.10      9.80     0.01                             b2Mat22::SetZero()
  0.10      9.81     0.01                             b2Sweep::Normalize()
  0.10      9.82     0.01                             b2Sweep::b2Sweep()
  0.10      9.83     0.01                             b2Island::Add(b2Contact*)
  0.10      9.84     0.01                             b2Island::Report(b2ContactVelocityConstraint const*)
  0.10      9.85     0.01                             b2Contact::GetNext()
  0.10      9.86     0.01                             b2Simplex::Solve2()
  0.10      9.87     0.01                             b2BroadPhase::TestOverlap(int, int) const
  0.10      9.88     0.01                             b2DynamicTree::GetFatAABB(int) const
  0.10      9.89     0.01                             b2RevoluteJoint::GetAnchorA() const
  0.10      9.90     0.01                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.10      9.91     0.01                             b2AABB::Contains(b2AABB const&) const
  0.10      9.92     0.01                             b2Body::GetMass() const
  0.10      9.93     0.01                             b2Mat22::Solve(b2Vec2 const&) const
  0.10      9.94     0.01                             b2Shape::GetType() const
  0.10      9.95     0.01                             b2Contact::IsTouching() const
  0.10      9.96     0.01                             b2Contact::GetChildIndexB() const
  0.10      9.97     0.01                             b2Fixture::IsSensor() const
  0.10      9.98     0.01                             b2Simplex::GetClosestPoint() const
  0.05      9.98     0.01                             b2Distance(b2Vec2 const&, b2Vec2 const&)
  0.05      9.99     0.01                             b2DistanceSquared(b2Vec2 const&, b2Vec2 const&)
  0.05      9.99     0.01                             float b2Abs<float>(float)
  0.05     10.00     0.01                             b2BroadPhase::BufferMove(int)
  0.05     10.01     0.01                             b2BroadPhase::UnBufferMove(int)
  0.05     10.01     0.01                             b2DistanceProxy::b2DistanceProxy()
  0.05     10.02     0.01                             b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*)
  0.05     10.02     0.01                             b2Body::Dump()
  0.00     10.02     0.00  1400000     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.00     10.02     0.00  1389005     0.00     0.00  b2WorldManifold::b2WorldManifold()
  0.00     10.02     0.00  1389005     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     10.02     0.00   500000     0.00     0.00  b2World::GetProfile() const
  0.00     10.02     0.00   400000     0.00     0.00  cs296::base_sim_t::get_world()
  0.00     10.02     0.00   100000     0.00     0.00  cs296::base_sim_t::step(cs296::settings_t*)
  0.00     10.02     0.00   100000     0.00     0.00  b2World::SetSubStepping(bool)
  0.00     10.02     0.00   100000     0.00     0.00  b2World::SetWarmStarting(bool)
  0.00     10.02     0.00   100000     0.00     0.00  b2World::SetContinuousPhysics(bool)
  0.00     10.02     0.00     4315     0.00     0.00  b2ContactListener::BeginContact(b2Contact*)
  0.00     10.02     0.00     4276     0.00     0.00  b2ContactListener::EndContact(b2Contact*)
  0.00     10.02     0.00     2048     0.00     0.00  cs296::contact_point_t::contact_point_t()
  0.00     10.02     0.00       75     0.00     0.00  b2Shape::b2Shape()
  0.00     10.02     0.00       65     0.00     0.00  b2Filter::b2Filter()
  0.00     10.02     0.00       56     0.00     0.00  b2PolygonShape::b2PolygonShape()
  0.00     10.02     0.00       39     0.00     0.00  b2BodyDef::b2BodyDef()
  0.00     10.02     0.00       24     0.00     0.00  b2Shape::~b2Shape()
  0.00     10.02     0.00       23     0.00     0.00  b2FixtureDef::b2FixtureDef()
  0.00     10.02     0.00       19     0.00     0.00  b2PolygonShape::~b2PolygonShape()
  0.00     10.02     0.00       17     0.00     0.00  b2CircleShape::b2CircleShape()
  0.00     10.02     0.00        8     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     10.02     0.00        5     0.00     0.00  b2JointDef::b2JointDef()
  0.00     10.02     0.00        4     0.00     0.00  b2CircleShape::~b2CircleShape()
  0.00     10.02     0.00        4     0.00     0.00  b2Body::GetWorldCenter() const
  0.00     10.02     0.00        4     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     10.02     0.00        4     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     10.02     0.00        4     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     10.02     0.00        4     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     10.02     0.00        4     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     10.02     0.00        3     0.00     0.00  b2RevoluteJointDef::b2RevoluteJointDef()
  0.00     10.02     0.00        2     0.00     0.00  b2EdgeShape::b2EdgeShape()
  0.00     10.02     0.00        2     0.00     0.00  b2ContactListener::b2ContactListener()
  0.00     10.02     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     10.02     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     10.02     0.00        1     0.00     0.00  b2EdgeShape::~b2EdgeShape()
  0.00     10.02     0.00        1     0.00     0.00  debug_draw_t::debug_draw_t()
  0.00     10.02     0.00        1     0.00     0.00  b2PulleyJointDef::b2PulleyJointDef()
  0.00     10.02     0.00        1     0.00     0.00  b2DistanceJointDef::b2DistanceJointDef()
  0.00     10.02     0.00        1     0.00     0.01  cs296::base_sim_t::base_sim_t()
  0.00     10.02     0.00        1     0.00     0.00  cs296::settings_t::settings_t()
  0.00     10.02     0.00        1     0.00     0.00  cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)())
  0.00     10.02     0.00        1     0.00     0.01  cs296::dominos_t::create()
  0.00     10.02     0.00        1     0.00     0.01  cs296::dominos_t::dominos_t()
  0.00     10.02     0.00        1     0.00     0.00  std::ios_base::precision(int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.10% of 10.02 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     15.5    0.97    0.59                 b2ContactSolver::SolveVelocityConstraints() [1]
                0.17    0.06 44772523/122179778     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.13    0.09 66931484/157729624     operator*(float, b2Vec2 const&) [7]
                0.07    0.03 22483478/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.04    0.00 11047152/53055077     float b2Max<float>(float, float) [21]
                0.00    0.00   64888/103063745     b2Vec2::b2Vec2() [19]
                0.00    0.00   64888/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       1/585755660     cs296::settings_t::settings_t() [210]
                0.00    0.00       1/585755660     __static_initialization_and_destruction_0(int, int) [211]
                0.00    0.00       1/585755660     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [203]
                0.00    0.00       1/585755660     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00      13/585755660     cs296::dominos_t::dominos_t() [179]
                0.00    0.00      29/585755660     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00      42/585755660     b2DynamicTree::CreateProxy(b2AABB const&, void*) [187]
                0.00    0.00   64888/585755660     b2ContactSolver::SolveVelocityConstraints() [1]
                0.00    0.00  129776/585755660     b2Mul(b2Mat22 const&, b2Vec2 const&) [170]
                0.00    0.00  173774/585755660     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [59]
                0.00    0.00  184443/585755660     b2EPCollider::ComputePolygonSeparation() [58]
                0.00    0.00  247844/585755660     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [87]
                0.00    0.00  295044/585755660     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [66]
                0.00    0.00 1300000/585755660     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [3]
                0.00    0.00 1322503/585755660     b2MulT(b2Transform const&, b2Vec2 const&) [70]
                0.00    0.00 2318884/585755660     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [33]
                0.01    0.00 4211640/585755660     b2MulT(b2Rot const&, b2Vec2 const&) [98]
                0.02    0.00 13789629/585755660     b2Min(b2Vec2 const&, b2Vec2 const&) [20]
                0.02    0.00 13789629/585755660     b2Max(b2Vec2 const&, b2Vec2 const&) [24]
                0.02    0.00 14928859/585755660     b2Cross(b2Vec2 const&, float) [43]
                0.03    0.00 24954927/585755660     b2Mul(b2Rot const&, b2Vec2 const&) [13]
                0.06    0.00 40647622/585755660     b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.06    0.00 41600000/585755660     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [5]
                0.08    0.00 56202567/585755660     b2Cross(float, b2Vec2 const&) [12]
                0.12    0.00 89684141/585755660     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.17    0.00 122179778/585755660     operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.22    0.00 157729624/585755660     operator*(float, b2Vec2 const&) [7]
[2]      8.1    0.81    0.00 585755660         b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      7.4    0.07    0.67                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [3]
                0.20    0.39 1300000/1300000     debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [5]
                0.04    0.00 22400000/103063745     b2Vec2::b2Vec2() [19]
                0.03    0.00 2800000/2800000     debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [71]
                0.01    0.00 4200000/11772506     b2Fixture::GetShape() [80]
                0.00    0.00 1300000/585755660     b2Vec2::b2Vec2(float, float) [2]
                0.00    0.00  100000/1400000     debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [218]
-----------------------------------------------
                0.00    0.00       1/122179778     b2DistanceJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&, b2Vec2 const&) [207]
                0.00    0.00       1/122179778     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [203]
                0.00    0.00       2/122179778     b2PulleyJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, float) [204]
                0.00    0.00       6/122179778     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00      13/122179778     b2PolygonShape::Set(b2Vec2 const*, int) [193]
                0.00    0.00      36/122179778     b2Body::ResetMassData() [184]
                0.00    0.00      42/122179778     b2DynamicTree::CreateProxy(b2AABB const&, void*) [187]
                0.00    0.00      80/122179778     b2Simplex::GetMetric() const [188]
                0.00    0.00     232/122179778     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00    3710/122179778     b2Sweep::Advance(float) [171]
                0.00    0.00    3710/122179778     b2Body::Advance(float) [175]
                0.00    0.00    5267/122179778     b2SeparationFunction::Evaluate(int, int, float) const [173]
                0.00    0.00   21812/122179778     b2ContactSolver::SolveTOIPositionConstraints(int, int) [169]
                0.00    0.00   93861/122179778     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [109]
                0.00    0.00  173774/122179778     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [59]
                0.00    0.00  282622/122179778     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [82]
                0.00    0.00  318310/122179778     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [143]
                0.00    0.00  399836/122179778     b2DistanceJoint::InitVelocityConstraints(b2SolverData const&) [144]
                0.00    0.00  400000/122179778     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [141]
                0.00    0.00  404300/122179778     b2DistanceJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  405618/122179778     b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [85]
                0.00    0.00  406572/122179778     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [64]
                0.00    0.00  466451/122179778     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [106]
                0.00    0.00  466845/122179778     b2Simplex::Solve2() [105]
                0.00    0.00  468534/122179778     b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [160]
                0.00    0.00  590088/122179778     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [66]
                0.00    0.00  740258/122179778     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [154]
                0.00    0.00  742920/122179778     b2EPCollider::ComputeEdgeSeparation() [103]
                0.00    0.00  782567/122179778     b2Simplex::GetSearchDirection() const [155]
                0.00    0.00  799672/122179778     b2DistanceJoint::SolveVelocityConstraints(b2SolverData const&) [42]
                0.00    0.00  928765/122179778     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [56]
                0.00    0.00  934589/122179778     b2Distance(b2Vec2 const&, b2Vec2 const&) [140]
                0.00    0.00  949536/122179778     b2Simplex::Solve3() [68]
                0.00    0.00  965726/122179778     b2MulT(b2Transform const&, b2Transform const&) [102]
                0.00    0.00 1187532/122179778     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [65]
                0.00    0.00 1248131/122179778     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [48]
                0.00    0.00 1260884/122179778     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [87]
                0.01    0.00 1660482/122179778     b2Body::SynchronizeFixtures() [77]
                0.01    0.00 1745419/122179778     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [52]
                0.01    0.00 2062292/122179778     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [34]
                0.01    0.00 2213008/122179778     b2EPCollider::ComputePolygonSeparation() [58]
                0.01    0.00 2238072/122179778     b2Body::SynchronizeTransform() [107]
                0.01    0.00 2318884/122179778     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [33]
                0.01    0.01 3894140/122179778     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [39]
                0.02    0.01 4192569/122179778     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [29]
                0.02    0.01 4720704/122179778     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [28]
                0.02    0.01 5662348/122179778     b2ContactSolver::SolvePositionConstraints() [26]
                0.03    0.01 8368102/122179778     b2ContactSolver::InitializeVelocityConstraints() [14]
                0.04    0.01 10399948/122179778     b2TestOverlap(b2AABB const&, b2AABB const&) [30]
                0.05    0.02 12478984/122179778     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [18]
                0.17    0.06 44772523/122179778     b2ContactSolver::SolveVelocityConstraints() [1]
[4]      6.3    0.46    0.17 122179778         operator-(b2Vec2 const&, b2Vec2 const&) [4]
                0.17    0.00 122179778/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.20    0.39 1300000/1300000     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [3]
[5]      5.9    0.20    0.39 1300000         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [5]
                0.13    0.06 42900000/89684141     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.08    0.06 42900000/157729624     operator*(float, b2Vec2 const&) [7]
                0.06    0.00 41600000/585755660     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[6]      5.5    0.55    0.00                 __x86.get_pc_thunk.bx [6]
-----------------------------------------------
                0.00    0.00       3/157729624     ComputeCentroid(b2Vec2 const*, int) [191]
                0.00    0.00      42/157729624     b2Body::ResetMassData() [184]
                0.00    0.00     116/157729624     b2PolygonShape::ComputeMass(b2MassData*, float) const [182]
                0.00    0.00    3710/157729624     b2Sweep::Advance(float) [171]
                0.00    0.00    7420/157729624     b2Island::SolveTOI(b2TimeStep const&, int, int) [174]
                0.00    0.00   16359/157729624     b2ContactSolver::SolveTOIPositionConstraints(int, int) [169]
                0.00    0.00   93861/157729624     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [109]
                0.00    0.00  173774/157729624     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [59]
                0.00    0.00  282622/157729624     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [82]
                0.00    0.00  299877/157729624     b2DistanceJoint::InitVelocityConstraints(b2SolverData const&) [144]
                0.00    0.00  303225/157729624     b2DistanceJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  324379/157729624     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [52]
                0.00    0.00  356102/157729624     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [39]
                0.00    0.00  400000/157729624     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [141]
                0.00    0.00  406572/157729624     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [64]
